date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:16	20882/20882	---M--	200	added ('OK')	image/png	etag:%225192-572d461808aa6%22	https://www.tagheuer.com/sites/default/files/2018-08/CBE2110.BA0687_menu.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2018-08/CBE2110.BA0687_menu.png	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:16	40561/40561	---M--	200	added ('OK')	image/jpeg	etag:%229e71-57f6e44d909b0%22	https://www.tagheuer.com/sites/default/files/2019-01/tag-heuer-cycling-partnership-cover.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2019-01/tag-heuer-cycling-partnership-cover.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:16	20604/20604	---M--	200	added ('OK')	image/jpeg	etag:%22507c-577b22b86d422%22	https://www.tagheuer.com/sites/default/files/2018-10/tag-heuer-football-partnership-menu.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2018-10/tag-heuer-football-partnership-menu.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:16	24054/24054	---M--	200	added ('OK')	image/jpeg	etag:%225df6-581ec133f80a9%22	https://www.tagheuer.com/sites/default/files/2019-02/tag-heuer-cara-delevingne-lifestyle-partnership-cover.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2019-02/tag-heuer-cara-delevingne-lifestyle-partnership-cover.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:16	20644/20644	---M--	200	added ('OK')	image/jpeg	etag:%2250a4-57c70c9911a44%22	https://www.tagheuer.com/sites/default/files/2018-12/tag-heuer-motorsports-section-cover.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2018-12/tag-heuer-motorsports-section-cover.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:17	29217/29217	---M--	200	added ('OK')	image/jpeg	etag:%227221-55cd59c52c3bb%22	https://www.tagheuer.com/sites/default/files/2017-10/tag-heuer-ayrton-senna2.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/tag-heuer-ayrton-senna2.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:17	48895/48895	---M--	200	added ('OK')	image/jpeg	etag:%22beff-55cd5856e3dbd%22	https://www.tagheuer.com/sites/default/files/2017-10/tag-heuer-kai-lenny-other-sports.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/tag-heuer-kai-lenny-other-sports.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:17	29679/29679	---M--	200	added ('OK')	image/jpeg	etag:%2273ef-58917b6d6dde6%22	https://www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-05/tag-heuer-golf-manchester-united-push.jpg?itok=qmtxabLY	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-05/tag-heuer-golf-manchester-united-push79fe.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:17	31792/31792	---M--	200	added ('OK')	image/jpeg	etag:%227c30-588ef9ca894f2%22	https://www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-05/tag-heuer-isograph-autavia-push.jpg?itok=J-BYLrOr	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-05/tag-heuer-isograph-autavia-push453f.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:17	30889/30889	---M--	200	added ('OK')	image/jpeg	etag:%2278a9-584af867dbdcf%22	https://www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-03/tag-heuer-baselworld-2019-news-push.jpg?itok=IKvjC9xg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-03/tag-heuer-baselworld-2019-news-push5551.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:18	19807/19807	---M--	200	added ('OK')	image/jpeg	etag:%224d5f-5849ac5bfea27%22	https://www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-03/tag-heuer-mats-hummels-video-news-push_0.jpg?itok=y2zUv-Os	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/styles/global_trending_now/public/2019-03/tag-heuer-mats-hummels-video-news-push_0ea4a.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:18	15877/15877	---M--	200	added ('OK')	image/jpeg	etag:%223e05-55cd5d7acf6db%22	https://www.tagheuer.com/sites/default/files/2017-10/tag-heuer-watch-finishing.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/tag-heuer-watch-finishing.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:18	45981/45981	---M--	200	added ('OK')	image/jpeg	etag:%22b39d-55cd5e3b33aef%22	https://www.tagheuer.com/sites/default/files/2017-10/inside-the-manufacture-tag-heuer.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/inside-the-manufacture-tag-heuer.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:18	32432/32432	---M--	200	added ('OK')	image/jpeg	etag:%227eb0-55cd5e6a1b50f%22	https://www.tagheuer.com/sites/default/files/2017-10/edouard-heuer-tag-histoire.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/edouard-heuer-tag-histoire.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:19	24314/24314	---M--	200	added ('OK')	image/jpeg	etag:%225efa-55cd5dcd6cba1%22	https://www.tagheuer.com/sites/default/files/2017-10/swiss-watch-movements-tag-heuer.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/swiss-watch-movements-tag-heuer.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:19	22707/22707	---M--	200	added ('OK')	image/jpeg	etag:%2258b3-55cd5dac8a762%22	https://www.tagheuer.com/sites/default/files/2017-10/diamond-tag-heuer-material.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/diamond-tag-heuer-material.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:19	33983/33983	---M--	200	added ('OK')	image/jpeg	etag:%2284bf-55cd5eba3647d%22	https://www.tagheuer.com/sites/default/files/2017-10/haute-horlogerie-monaco-v4.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/sites/default/files/2017-10/haute-horlogerie-monaco-v4.jpg	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:19	11212/11212	---M--	200	added ('OK')	image/png	etag:%222bcc-581b3bd6cd0af%22	https://www.tagheuer.com/alec-monopoly-watches/images/common/preloader-stain.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/images/common/preloader-stain.png	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:20	446515/446515	---M-Z	200	added ('OK')	application/javascript	etag:%226d033-589f1d8f486bb-gzip%22	https://www.tagheuer.com/alec-monopoly-watches/javascripts/app.js	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/javascripts/app.js	(from https://www.tagheuer.com/alec-monopoly-watches/)
